Subject: OKS001,,,,,,,,,,
,,,,,,,,,,
Section,Subject,Tissue,Label,Voxels,Vol (cm³),mua (mm^-1),Mean Fluence Rate (mW/cm²),Max Fluence Rate (mW/cm²),Absorbed Power (mW),% of Total Absorbed
Dose,OKS004,Meniscus,7.95E-01,0.2385,0.477,0.7155,,,,
Dose,OKS004,Synovial,3.34E+00,1.0019,2.0038,3.0057,,,,
Dose,OKS004,Muscle,7.97E-01,0.2392,0.4784,0.7176,,,,
Dose,OKS004,Adipose,2.10E-01,0.063,0.126,0.189,,,,
Dose,OKS004,Skin,6.49E-02,0.0195,0.039,0.0585,,,,
,,,,,,,,,,
----------------------------------------,,,,,,,,,,
,,,,,,,,,,
Subject: OKS006,,,,,,,,,,
,,,,,,,,,,
Section,Subject,Tissue,Label,Voxels,Vol (cm³),mua (mm^-1),Mean Fluence Rate (mW/cm²),Max Fluence Rate (mW/cm²),Absorbed Power (mW),% of Total Absorbed
Layer,OKS006,femur-bone,1,153814,153.814,0.013,1.42E+00,3.27E+03,28.375126,27.9863
Layer,OKS006,tibia-bone,2,94670,94.67,0.013,6.61E-02,5.92E+00,0.813653,0.8025
Layer,OKS006,fibula-bone,3,9911,9.911,0.013,3.14E-03,1.37E-01,0.004048,0.004
Layer,OKS006,patella-bone,4,12343,12.343,0.013,2.45E+00,3.74E+02,3.928222,3.8744
Layer,OKS006,lm-men,5,2476,2.476,0.006,3.38E+00,4.13E+01,0.502233,0.4954
Layer,OKS006,mm-men,6,1969,1.969,0.006,1.18E-01,1.43E+00,0.013894,0.0137
Layer,OKS006,fc-cart,7,8564,8.564,0.005,4.09E+00,1.45E+03,1.750943,1.727
Layer,OKS006,ltc-cart,8,1494,1.494,0.005,2.15E+00,1.02E+01,0.160798,0.1586
Layer,OKS006,mtc-cart,9,572,0.572,0.005,1.55E-01,7.86E-01,0.004446,0.0044
Layer,OKS006,pat-cart,10,5871,5.871,0.005,1.75E-01,3.56E+00,0.051233,0.0505
Layer,OKS006,muscle,11,434802,434.802,0.018,7.98E-01,2.57E+03,62.438843,61.5833
Layer,OKS006,adipose,12,255564,255.564,0.0057,2.02E-01,2.35E+01,2.949568,2.9092
Layer,OKS006,skin,13,92653,92.653,0.0046,6.00E-02,6.99E+00,0.255628,0.2521
Layer,OKS006,synovial,14,26259,26.259,0.0002,2.68E+00,1.41E+03,0.140549,0.1386
,,,,,,,,,,
Section,Subject,Group,Total Voxels,Total Vol (cm³),Mean Fluence Rate (mW/cm²),Max Fluence Rate (mW/cm²),Absorbed Power (mW),% of Total Absorbed,,
Group,OKS006,Bone,270738,270.738,9.41E-01,3.27E+03,33.121048,32.6672,,
Group,OKS006,Cartilage,16501,16.501,2.38E+00,1.45E+03,1.96742,1.9405,,
Group,OKS006,Meniscus,4445,4.445,1.94E+00,4.13E+01,0.516127,0.5091,,
Group,OKS006,Synovial,26259,26.259,2.68E+00,1.41E+03,0.140549,0.1386,,
Group,OKS006,Muscle,434802,434.802,7.98E-01,2.57E+03,62.438843,61.5833,,
Group,OKS006,Adipose,255564,255.564,2.02E-01,2.35E+01,2.949568,2.9092,,
Group,OKS006,Skin,92653,92.653,6.00E-02,6.99E+00,0.255628,0.2521,,
Group,OKS006,TOTAL,1100962,1100.962,,,101.389175,100,,
,,,,,,,,,,
Power,OKS006,Sources: 3,Power per source: 37.5 mW (avg),Total input: 112.5 mW,Total absorbed: 101.3892 mW,Absorption ratio: 90.12%,,,,
,,,,,,,,,,
Section,Subject,Group,Mean Fluence Rate (mW/cm²),Dose @ 300s (J/cm²),Dose @ 600s (J/cm²),Dose @900s (J/cm²),Therapeutic Goal: (1-4 J/cm²),,,
Dose,OKS006,Bone,9.41E-01,0.2823,0.5646,0.8469,,,,
Dose,OKS006,Cartilage,2.38E+00,0.7154,1.4308,2.1462,,,,
Dose,OKS006,Meniscus,1.94E+00,0.5806,1.1612,1.7418,,,,
Dose,OKS006,Synovial,2.68E+00,0.8029,1.6058,2.4087,,,,
Dose,OKS006,Muscle,7.98E-01,0.2393,0.4786,0.7179,,,,
Dose,OKS006,Adipose,2.02E-01,0.0607,0.1214,0.1821,,,,
Dose,OKS006,Skin,6.00E-02,0.018,0.036,0.054,,,,
,,,,,,,,,,
----------------------------------------,,,,,,,,,,
,,,,,,,,,,
Subject: OKS007,,,,,,,,,,
,,,,,,,,,,
Section,Subject,Tissue,Label,Voxels,Vol (cm³),mua (mm^-1),Mean Fluence Rate (mW/cm²),Max Fluence Rate (mW/cm²),Absorbed Power (mW),% of Total Absorbed
Layer,OKS007,femur-bone,1,194269,194.269,0.013,1.57E+00,3.28E+03,39.656963,39.1697
Layer,OKS007,tibia-bone,2,142930,142.93,0.013,3.22E-02,4.00E+00,0.599017,0.5917
Layer,OKS007,fibula-bone,3,11340,11.34,0.013,8.48E-04,3.80E-02,0.001251,0.0012
Layer,OKS007,patella-bone,4,16445,16.445,0.013,3.12E-02,9.85E-01,0.066663,0.0658
Layer,OKS007,lm-men,5,2930,2.93,0.006,1.44E+00,1.16E+01,0.252509,0.2494
Layer,OKS007,mm-men,6,2973,2.973,0.006,8.12E-02,7.49E-01,0.01448,0.0143
Layer,OKS007,fc-cart,7,13120,13.12,0.005,4.01E+00,1.21E+03,2.629792,2.5975
Layer,OKS007,ltc-cart,8,1709,1.709,0.005,8.02E-01,4.04E+00,0.068531,0.0677
Layer,OKS007,mtc-cart,9,1301,1.301,0.005,2.83E-02,2.12E-01,0.001839,0.0018
Layer,OKS007,pat-cart,10,6906,6.906,0.005,5.73E-02,5.34E-01,0.019801,0.0196
Layer,OKS007,muscle,11,528112,528.112,0.018,5.77E-01,7.57E+02,54.827744,54.154
Layer,OKS007,adipose,12,300838,300.838,0.0057,1.59E-01,1.60E+01,2.719928,2.6865
Layer,OKS007,skin,13,108061,108.061,0.0046,5.00E-02,4.53E+00,0.248719,0.2457
Layer,OKS007,synovial,14,32595,32.595,0.0002,2.10E+00,1.43E+03,0.136818,0.1351
,,,,,,,,,,
Section,Subject,Group,Total Voxels,Total Vol (cm³),Mean Fluence Rate (mW/cm²),Max Fluence Rate (mW/cm²),Absorbed Power (mW),% of Total Absorbed,,
Group,OKS007,Bone,364984,364.984,8.50E-01,3.28E+03,40.323895,39.8284,,
Group,OKS007,Cartilage,23036,23.036,2.36E+00,1.21E+03,2.719963,2.6865,,
Group,OKS007,Meniscus,5903,5.903,7.54E-01,1.16E+01,0.266989,0.2637,,
Group,OKS007,Synovial,32595,32.595,2.10E+00,1.43E+03,0.136818,0.1351,,
Group,OKS007,Muscle,528112,528.112,5.77E-01,7.57E+02,54.827744,54.154,,
Group,OKS007,Adipose,300838,300.838,1.59E-01,1.60E+01,2.719928,2.6865,,
Group,OKS007,Skin,108061,108.061,5.00E-02,4.53E+00,0.248719,0.2457,,
Group,OKS007,TOTAL,1363529,1363.529,,,101.244057,100,,
,,,,,,,,,,
Power,OKS007,Sources: 3,Power per source: 37.5 mW (avg),Total input: 112.5 mW,Total absorbed: 101.2441 mW,Absorption ratio: 89.99%,,,,
,,,,,,,,,,
Section,Subject,Group,Mean Fluence Rate (mW/cm²),Dose @ 300s (J/cm²),Dose @600s (J/cm²),Dose @ 900s (J/cm²),Therapeutic Goal: (1-4 J/cm²),,,
Dose,OKS007,Bone,8.50E-01,0.255,0.51,0.765,,,,
Dose,OKS007,Cartilage,2.36E+00,0.7084,1.4168,2.1252,,,,
Dose,OKS007,Meniscus,7.54E-01,0.2261,0.4522,0.6783,,,,
Dose,OKS007,Synovial,2.10E+00,0.6296,1.2592,1.8888,,,,
Dose,OKS007,Muscle,5.77E-01,0.173,0.346,0.519,,,,
Dose,OKS007,Adipose,1.59E-01,0.0476,0.0952,0.1428,,,,
Dose,OKS007,Skin,5.00E-02,0.015,0.03,0.045,,,,
,,,,,,,,,,
----------------------------------------,,,,,,,,,,
,,,,,,,,,,
Subject: OKS008,,,,,,,,,,
,,,,,,,,,,
Section,Subject,Tissue,Label,Voxels,Vol (cm³),mua (mm^-1),Mean Fluence Rate (mW/cm²),Max Fluence Rate (mW/cm²),Absorbed Power (mW),% of Total Absorbed
Layer,OKS008,femur-bone,1,242486,242.486,0.013,8.66E-01,3.27E+03,27.296314,26.9724
Layer,OKS008,tibia-bone,2,162692,162.692,0.013,1.39E-02,2.64E+00,0.294081,0.2906
Layer,OKS008,fibula-bone,3,19702,19.702,0.013,4.40E-04,2.85E-02,0.001126,0.0011
Layer,OKS008,patella-bone,4,24098,24.098,0.013,1.84E+00,4.45E+02,5.779805,5.7112
Layer,OKS008,lm-men,5,3330,3.33,0.006,7.17E-01,8.05E+00,0.143266,0.1416
Layer,OKS008,mm-men,6,3944,3.944,0.006,1.14E-02,1.88E-01,0.002702,0.0027
Layer,OKS008,fc-cart,7,13577,13.577,0.005,3.89E+00,1.48E+03,2.642444,2.6111
Layer,OKS008,ltc-cart,8,2746,2.746,0.005,4.91E-01,4.03E+00,0.067367,0.0666
Layer,OKS008,mtc-cart,9,1404,1.404,0.005,3.20E-02,2.04E-01,0.002245,0.0022
Layer,OKS008,pat-cart,10,9135,9.135,0.005,1.02E-01,4.73E+00,0.04665,0.0461
Layer,OKS008,muscle,11,595770,595.77,0.018,5.73E-01,2.62E+03,61.461224,60.7319
Layer,OKS008,adipose,12,331894,331.894,0.0057,1.62E-01,2.11E+01,3.065774,3.0294
Layer,OKS008,skin,13,118944,118.944,0.0046,4.97E-02,6.12E+00,0.271918,0.2687
Layer,OKS008,synovial,14,36926,36.926,0.0002,1.71E+00,1.36E+03,0.126005,0.1245
,,,,,,,,,,
Section,Subject,Group,Total Voxels,Total Vol (cm³),Mean Fluence Rate (mW/cm²),Max Fluence Rate (mW/cm²),Absorbed Power (mW),% of Total Absorbed,,
Group,OKS008,Bone,448978,448.978,5.72E-01,3.27E+03,33.371326,32.9753,,
Group,OKS008,Cartilage,26862,26.862,2.05E+00,1.48E+03,2.758705,2.726,,
Group,OKS008,Meniscus,7274,7.274,3.34E-01,8.05E+00,0.145968,0.1442,,
Group,OKS008,Synovial,36926,36.926,1.71E+00,1.36E+03,0.126005,0.1245,,
Group,OKS008,Muscle,595770,595.77,5.73E-01,2.62E+03,61.461224,60.7319,,
Group,OKS008,Adipose,331894,331.894,1.62E-01,2.11E+01,3.065774,3.0294,,
Group,OKS008,Skin,118944,118.944,4.97E-02,6.12E+00,0.271918,0.2687,,
Group,OKS008,TOTAL,1566648,1566.648,,,101.20092,100,,
,,,,,,,,,,
Power,OKS008,Sources: 3,Power per source: 37.5 mW (avg),Total input: 112.5 mW,Total absorbed: 101.2009 mW,Absorption ratio: 89.96%,,,,
,,,,,,,,,,
Section,Subject,Group,Mean Fluence Rate (mW/cm²),Dose @ 300s (J/cm²),Dose @ 600s (J/cm²),Dose @ 900s (J/cm²),Therapeutic Goal: (1-4 J/cm²),,,
Dose,OKS008,Bone,5.72E-01,0.1715,0.343,0.5145,,,,
Dose,OKS008,Cartilage,2.05E+00,0.6162,1.2324,1.8486,,,,
Dose,OKS008,Meniscus,3.34E-01,0.1003,0.2006,0.3009,,,,
Dose,OKS008,Synovial,1.71E+00,0.5119,1.0238,1.5357,,,,
Dose,OKS008,Muscle,5.73E-01,0.1719,0.3438,0.5157,,,,
Dose,OKS008,Adipose,1.62E-01,0.0486,0.0972,0.1458,,,,
Dose,OKS008,Skin,4.97E-02,0.0149,0.0298,0.0447,,,,
